  1991.6250;  6980; 2;000
  1991.7083;  7053; 0;000
  1991.7917;  7103; 0;000
  1991.8750;  7173; 0;000
  1991.9583;  7016; 0;000
  1992.0417;  6915; 0;000
  1992.1250;  6991; 0;000
  1992.2083;  6987; 0;000
  1992.2917;  7012; 0;000
  1992.3750;  6955; 0;000
  1992.4583;  6952; 0;000
  1992.5417;  7000; 0;000
  1992.6250;  7095; 8;000
  1992.7083;  7008; 9;000
  1992.7917;  7019; 0;000
  1992.8750;  7196; 0;000
  1992.9583;  7088; 0;000
  1993.0417;  7251; 2;000
  1993.1250;  6874; 3;000
  1993.2083;  6933; 0;000
  1993.2917;  7021;12;000
  1993.3750;  6953; 8;000
  1993.4583;  6950; 3;000
  1993.5417;  7022; 0;000
  1993.6250;  6975; 0;000
  1993.7083;  7044; 0;000
  1993.7917;  7019; 0;000
  1993.8750;  7058;12;000
  1993.9583;  7220; 0;000
  1994.0417;  7124; 0;000
  1994.1250;  6965; 0;000
  1994.2083;  7076; 0;000
  1994.2917;  6931; 0;000
  1994.3750;  6967; 0;000
  1994.4583;  6991; 0;000
  1994.5417;  6959; 0;000
  1994.6250;  7026; 0;000
  1994.7083;  7045; 0;000
  1994.7917;  7106; 0;000
  1994.8750;  7142; 0;000
